FacultyID,FirstName,LastName,Email,Title,DepartmentID,OfficeLocation,PhoneNumber
1,Lindsay,Blair,dudleynicholas@example.net,Assistant Professor,4,"Building A, Room 370",695-993-1034x1316
2,Cynthia,Diaz,michael41@example.net,Assistant Professor,8,"Building A, Room 120",+1-228-732-7648x3503
3,Richard,Jones,jason76@example.net,Assistant Professor,10,"Building C, Room 314",724.523.8849x696
4,Wendy,Taylor,ddavis@example.org,Assistant Professor,8,"Building A, Room 199",(626)291-6697
5,Erin,Wilson,kayla51@example.com,Lecturer,8,"Building C, Room 249",(727)404-8281x48932
6,Amber,Osborne,georgetracy@example.org,Professor,2,"Building D, Room 393",(443)903-9117x182
7,Stacey,Martin,ibrandt@example.net,Associate Professor,5,"Building A, Room 121",001-734-265-7871x331
8,Brianna,Hall,adrianzimmerman@example.org,Professor,9,"Building A, Room 158",510.451.8347
9,Jennifer,Khan,esanchez@example.com,Assistant Professor,10,"Building D, Room 287",311.265.6670
10,Richard,Morgan,wrightjames@example.com,Lecturer,3,"Building D, Room 154",(362)247-3178
11,Denise,Fernandez,novaksara@example.org,Lecturer,9,"Building C, Room 234",(267)873-6026
12,Joseph,Bowers,smitchell@example.net,Professor,9,"Building C, Room 373",+1-272-734-3098
13,Brian,Silva,brianromero@example.org,Lecturer,9,"Building D, Room 113",291-336-1939
14,Robert,Silva,sarah35@example.org,Associate Professor,10,"Building A, Room 152",362-547-5107x991
15,William,Anderson,nicole35@example.com,Associate Professor,4,"Building D, Room 363",(378)449-8084
16,Joseph,Preston,josephjacobs@example.net,Assistant Professor,3,"Building B, Room 180",634-487-4016x40052
17,Joyce,Arnold,hhoffman@example.org,Lecturer,2,"Building D, Room 101",001-728-205-9826x204
18,Rachel,Clark,elizabethgomez@example.net,Associate Professor,6,"Building B, Room 205",(392)832-2602x56342
19,Monica,Garrison,jamessellers@example.com,Lecturer,6,"Building A, Room 290",733-203-6541x4586
20,Darrell,Waller,beverlyterrell@example.org,Associate Professor,10,"Building D, Room 261",896-555-6981
21,Jonathan,Fletcher,meyerlindsay@example.net,Associate Professor,4,"Building B, Room 370",001-735-861-5951x4846
22,Heidi,Spencer,robertbentley@example.net,Lecturer,7,"Building D, Room 289",001-729-994-6804x4369
23,Scott,Lowe,yleon@example.net,Lecturer,5,"Building D, Room 336",(514)589-5134
24,Dylan,Williams,xcarr@example.org,Associate Professor,5,"Building D, Room 316",569.436.7632x016
25,Linda,Dominguez,pwilliams@example.org,Lecturer,9,"Building A, Room 114",927.488.9579x868
26,Julia,Wells,karen48@example.com,Professor,1,"Building A, Room 108",+1-434-571-4345x5812
27,Patrick,Hernandez,calebrussell@example.net,Lecturer,1,"Building D, Room 235",760.636.6909x670
28,Karen,Castaneda,vmedina@example.net,Lecturer,3,"Building A, Room 262",+1-937-434-6706x562
29,Tina,Ferguson,qvargas@example.org,Assistant Professor,1,"Building C, Room 360",562-972-0465
30,Mark,Juarez,aramirez@example.com,Associate Professor,7,"Building B, Room 140",270-580-5310
31,James,Smith,johnwells@example.org,Lecturer,7,"Building A, Room 367",001-437-645-2991
32,Daniel,Johnson,barbara66@example.net,Associate Professor,1,"Building D, Room 161",219.731.4919
33,Amanda,Stanley,huntermatthew@example.com,Lecturer,5,"Building C, Room 271",916.857.2628x4987
34,Margaret,Vargas,melissa14@example.com,Lecturer,6,"Building C, Room 134",479.996.5075
35,Jason,Salinas,joshua94@example.net,Professor,3,"Building A, Room 230",9839136783
36,Shane,Smith,jeffrey34@example.net,Professor,5,"Building B, Room 354",001-757-988-5685
37,Joseph,King,griffithleslie@example.net,Associate Professor,7,"Building C, Room 306",+1-623-337-4989
38,Marissa,Phillips,harry08@example.org,Assistant Professor,10,"Building B, Room 278",900-984-2710x947
39,Matthew,Sheppard,shelley71@example.org,Assistant Professor,7,"Building A, Room 151",(871)590-2294x1318
40,Kimberly,James,levans@example.com,Professor,4,"Building B, Room 330",399-409-1334x1232
41,Aaron,Hayes,ocarter@example.com,Professor,4,"Building A, Room 259",001-447-613-4936x183
42,Margaret,Jones,lauralarson@example.net,Assistant Professor,3,"Building B, Room 383",271-874-6488x7719
43,Jessica,Munoz,davissuzanne@example.net,Associate Professor,10,"Building A, Room 161",001-604-490-2787
44,Wendy,Graham,ecosta@example.com,Professor,5,"Building B, Room 383",(755)612-5674x68071
45,Marcus,Cordova,ahancock@example.net,Lecturer,4,"Building B, Room 227",+1-976-203-8597
46,James,Dunn,samuel71@example.org,Associate Professor,7,"Building D, Room 330",+1-393-424-8086x1317
47,Tyrone,Moran,robert77@example.org,Associate Professor,1,"Building A, Room 382",682.263.9821x465
48,Justin,Evans,cgrimes@example.net,Associate Professor,9,"Building D, Room 332",855.288.6753x3963
49,Louis,Kennedy,qhughes@example.net,Assistant Professor,7,"Building B, Room 236",(370)928-9517
50,Alexis,Thomas,charlesharrington@example.com,Associate Professor,5,"Building A, Room 333",696-515-8657x80913
51,Julie,Hamilton,hodgesjane@example.org,Lecturer,8,"Building C, Room 259",524.800.5045x562
52,Ashlee,Sparks,gregorylynch@example.com,Lecturer,8,"Building A, Room 279",+1-637-492-3747x407
53,Charles,Landry,danielle64@example.com,Professor,1,"Building B, Room 151",836-671-3695x9440
54,Alan,Grimes,lozanojulie@example.com,Lecturer,7,"Building B, Room 212",001-739-453-3942x10470
55,Christopher,Phillips,ithompson@example.net,Professor,1,"Building D, Room 180",(488)542-4745x171
56,Michelle,Ramsey,zcoffey@example.net,Assistant Professor,1,"Building B, Room 229",(716)304-8175x496
57,Emily,Ruiz,rose31@example.net,Lecturer,6,"Building C, Room 323",446.812.0047x113
58,Shawn,Santiago,umatthews@example.org,Professor,1,"Building C, Room 225",(717)796-4053x77351
59,Bruce,Hill,rushmadison@example.org,Associate Professor,5,"Building D, Room 317",+1-539-500-5329x31839
60,Mark,Hernandez,ramireztracey@example.org,Lecturer,6,"Building D, Room 346",+1-742-210-2053
61,Grant,Williams,vfox@example.org,Lecturer,7,"Building C, Room 283",975.289.1783x9084
62,Bruce,Mendoza,gsimmons@example.com,Assistant Professor,1,"Building C, Room 393",001-771-815-9212x499
63,Virginia,Schmidt,bwagner@example.org,Lecturer,5,"Building D, Room 197",001-318-736-7365x766
64,Ronald,Ortega,stephanie71@example.org,Associate Professor,6,"Building C, Room 339",716-315-2809
65,Robert,Russo,uparrish@example.org,Lecturer,1,"Building A, Room 223",794-351-9832x7315
66,Kathryn,Andrews,xbruce@example.net,Assistant Professor,6,"Building D, Room 358",+1-480-494-0244x550
67,Ashley,Morales,joycebonilla@example.org,Lecturer,4,"Building C, Room 246",001-383-266-7525x4599
68,Eric,Webster,craigjoseph@example.net,Lecturer,7,"Building D, Room 227",(979)676-4381x56149
69,Brandon,Foster,smithkevin@example.org,Assistant Professor,2,"Building D, Room 228",001-724-345-1076x22683
70,Randy,Harmon,esmith@example.com,Assistant Professor,9,"Building A, Room 250",001-769-466-4160
71,Laurie,Montgomery,christopher13@example.com,Assistant Professor,10,"Building C, Room 362",001-468-316-4535
72,William,Wilson,rebeccabailey@example.net,Lecturer,10,"Building D, Room 159",+1-923-912-4329x2127
73,Erin,Macias,michelle52@example.com,Professor,2,"Building A, Room 353",377-644-9058
74,Steven,Johnson,marie11@example.net,Lecturer,5,"Building A, Room 259",+1-986-479-8079x359
75,Susan,Hayes,toni18@example.net,Assistant Professor,7,"Building A, Room 332",(703)777-8892
76,Samantha,Hughes,erika05@example.org,Assistant Professor,3,"Building D, Room 307",818-464-4925x19254
77,Brooke,Hurley,angelica52@example.net,Assistant Professor,4,"Building D, Room 153",001-981-568-5054x235
78,Jeremy,Taylor,phillipskristin@example.net,Lecturer,1,"Building D, Room 215",001-988-205-9296x22292
79,Robert,Rhodes,tarabishop@example.net,Assistant Professor,1,"Building D, Room 203",838.834.7359x774
80,Tammy,Montoya,moniquewilliams@example.com,Lecturer,3,"Building D, Room 198",(881)381-4124x782
81,Stacey,Walker,bwilkerson@example.com,Professor,2,"Building D, Room 293",2687536153
82,Sarah,Combs,lacey20@example.com,Associate Professor,3,"Building D, Room 268",827.379.0104x3289
83,Kimberly,Young,williamsrobert@example.net,Lecturer,1,"Building D, Room 388",811.279.8089x324
84,Christina,Allen,qlopez@example.org,Associate Professor,5,"Building D, Room 234",651.288.8880x67065
85,Michael,Jones,jessicafuller@example.net,Assistant Professor,1,"Building D, Room 132",001-952-205-8527x7221
86,Kelly,Williams,ninastewart@example.com,Lecturer,3,"Building B, Room 121",868.874.0345x05415
87,Julia,Kline,lmorgan@example.com,Associate Professor,6,"Building B, Room 150",001-675-784-1616x928
88,Curtis,Murphy,kirk96@example.org,Associate Professor,8,"Building C, Room 126",001-775-470-5964x016
89,Stephanie,Thomas,ejohnson@example.org,Associate Professor,5,"Building B, Room 196",001-455-769-0927x55719
90,Raymond,Banks,susanjohnson@example.org,Lecturer,1,"Building A, Room 246",386.481.4473x9473
91,Melissa,Hayes,zosborn@example.net,Lecturer,3,"Building D, Room 148",451-588-4422x58313
92,Kristy,Johnson,tanner82@example.net,Lecturer,1,"Building D, Room 319",314-467-8669
93,Teresa,Day,howens@example.com,Associate Professor,5,"Building B, Room 198",(489)622-6801
94,Fred,Morris,michaeleverett@example.com,Lecturer,9,"Building A, Room 379",343-484-2498
95,Brittany,Carpenter,donnale@example.net,Professor,1,"Building B, Room 280",690-601-0943x96907
96,Timothy,Ballard,eevans@example.net,Assistant Professor,3,"Building D, Room 215",4277677359
97,Michelle,Flores,theresa25@example.net,Assistant Professor,5,"Building D, Room 260",+1-415-337-1473
98,Brent,Dougherty,kwright@example.com,Lecturer,3,"Building D, Room 117",001-953-227-8774
99,Christopher,Long,nlevy@example.net,Professor,10,"Building C, Room 153",(400)647-9748x016
100,Jessica,Gallagher,brandon09@example.net,Associate Professor,3,"Building D, Room 273",658.341.6878
101,David,Davis,laura58@example.com,Lecturer,2,"Building D, Room 250",001-923-498-6800x02578
102,Catherine,Robertson,sarah52@example.com,Associate Professor,10,"Building B, Room 372",+1-749-758-8879x470
103,Emily,Whitney,laura09@example.com,Lecturer,1,"Building A, Room 398",599-230-9728x962
104,Ashley,Graves,andrewedwards@example.org,Associate Professor,7,"Building A, Room 269",(836)789-7028x38578
105,Sue,Stevens,amy49@example.com,Assistant Professor,10,"Building C, Room 112",934.784.3443
106,Timothy,Castro,keith98@example.com,Lecturer,10,"Building C, Room 135",(652)640-4157x4733
107,Derrick,Gilbert,johnsantiago@example.net,Professor,4,"Building A, Room 363",230.416.5712
108,Richard,Donovan,mwoods@example.com,Lecturer,3,"Building C, Room 242",440-619-3802x62067
109,Nancy,Smith,hebertmatthew@example.com,Lecturer,2,"Building B, Room 387",+1-688-472-8743x1527
110,Alexis,Rogers,ashley32@example.net,Assistant Professor,6,"Building C, Room 252",+1-266-685-1612x2753
111,Patrick,Griffin,stephanie49@example.net,Associate Professor,6,"Building B, Room 157",001-404-853-0174
112,Gina,Leblanc,hannah45@example.net,Associate Professor,1,"Building D, Room 269",932.572.7956
113,Kathleen,Becker,foxallison@example.com,Associate Professor,6,"Building C, Room 200",491-408-8398
114,Mark,Meyer,frazierjennifer@example.com,Professor,8,"Building A, Room 159",287-907-2867
115,Emily,Parker,fosterlisa@example.net,Lecturer,5,"Building C, Room 295",391.906.5180
116,Anthony,Ortiz,katiegood@example.net,Associate Professor,4,"Building B, Room 146",(456)576-6182x51286
117,Mary,Avila,steven86@example.net,Assistant Professor,7,"Building D, Room 243",(533)575-2431x0690
118,Carlos,Wheeler,tharper@example.org,Professor,2,"Building D, Room 205",606.573.8302
119,Lisa,Dennis,barbara53@example.com,Associate Professor,3,"Building A, Room 219",(483)864-4089
120,Angela,Williams,shelly68@example.com,Assistant Professor,3,"Building D, Room 157",001-466-924-6287x334
121,Robin,Hart,igrant@example.com,Assistant Professor,10,"Building A, Room 216",543.251.7518
122,Joseph,Nunez,russojacob@example.net,Associate Professor,7,"Building C, Room 228",001-583-873-5403x3173
123,Rose,Arnold,oscar85@example.com,Associate Professor,10,"Building A, Room 338",258-577-1753x556
124,Joyce,Smith,mphillips@example.com,Associate Professor,6,"Building D, Room 188",969.937.8547
125,Gary,Norton,donaldpayne@example.org,Lecturer,5,"Building A, Room 371",+1-508-301-0062
126,Jasmine,Smith,nbrooks@example.net,Professor,7,"Building D, Room 168",+1-697-270-0886x00848
127,Wayne,Wolfe,ldrake@example.org,Associate Professor,7,"Building C, Room 175",682-833-9845
128,Christian,Chung,scunningham@example.org,Associate Professor,3,"Building A, Room 185",910-816-6687x0021
129,Deanna,Rivera,jacobsonsamantha@example.org,Professor,5,"Building C, Room 193",297.440.1489
130,Sarah,Edwards,brendagoodwin@example.net,Associate Professor,4,"Building A, Room 303",(714)229-3968x5621
131,Connor,Hall,petersonkayla@example.net,Lecturer,10,"Building B, Room 138",(850)347-7358x6629
132,Kelsey,Phillips,jennifermiller@example.org,Lecturer,1,"Building B, Room 321",(426)355-1104x7541
133,Jacob,Cole,fgarcia@example.com,Professor,7,"Building B, Room 109",+1-819-395-6046
134,Jenny,Hansen,ashleyjackson@example.com,Associate Professor,5,"Building D, Room 389",(824)644-7212
135,Robert,Washington,wardsheryl@example.net,Lecturer,10,"Building B, Room 246",+1-879-793-7124x0659
136,Scott,Jordan,kevinmorrison@example.net,Associate Professor,1,"Building D, Room 103",575.726.5479
137,Nicholas,Velasquez,kdiaz@example.org,Lecturer,8,"Building D, Room 346",001-382-880-7374
138,Emily,Taylor,john26@example.com,Associate Professor,1,"Building D, Room 259",279-779-6886
139,Jacqueline,Burnett,rodriguezjohn@example.net,Assistant Professor,4,"Building D, Room 277",(529)509-6561x014
140,Sean,Myers,michaeljohnson@example.org,Assistant Professor,1,"Building A, Room 278",961-312-5457x3875
141,Samuel,Horton,carlos01@example.org,Assistant Professor,5,"Building D, Room 164",412-438-2825x86736
142,Danielle,Reynolds,mclaughlinnicole@example.com,Professor,8,"Building B, Room 142",001-366-403-3419
143,Michael,Gonzalez,bakermichelle@example.net,Lecturer,2,"Building A, Room 341",+1-659-369-6915x5792
144,Emily,Edwards,kevinwhite@example.net,Assistant Professor,7,"Building A, Room 189",(486)969-2966
145,Cynthia,Steele,angelaburns@example.org,Lecturer,10,"Building B, Room 189",(557)890-5072
146,Tamara,Wagner,fortiz@example.com,Associate Professor,2,"Building C, Room 204",001-677-421-9034x043
147,Kimberly,Cunningham,hdunn@example.net,Assistant Professor,4,"Building B, Room 213",848-358-0783
148,Jill,Valdez,kennethkidd@example.com,Professor,8,"Building D, Room 316",451-571-3395x962
149,Lisa,Trujillo,amanda98@example.org,Professor,9,"Building D, Room 291",444-794-8126x04223
150,Maria,Juarez,kburns@example.net,Assistant Professor,1,"Building C, Room 135",766-271-1684x577
151,Misty,Boone,simonstephen@example.net,Associate Professor,1,"Building C, Room 195",001-751-486-3637x454
152,Ashlee,Washington,patricia00@example.org,Lecturer,7,"Building B, Room 323",+1-670-312-7706x3242
153,Diamond,Wright,elizabeth20@example.com,Professor,1,"Building C, Room 112",+1-943-261-1037x1293
154,Alan,Cooper,mcneilrobert@example.org,Assistant Professor,9,"Building C, Room 385",413.361.1155x4262
155,Alyssa,Smith,scottbowen@example.net,Professor,1,"Building B, Room 183",001-826-797-3112x1965
156,Kylie,Wright,wrightcarolyn@example.net,Lecturer,9,"Building B, Room 286",+1-540-943-8983x640
157,Paul,Allen,ricetiffany@example.com,Assistant Professor,1,"Building D, Room 332",626-596-5827x10910
158,Bill,Brown,ohunter@example.net,Assistant Professor,9,"Building C, Room 383",566.461.8892x41418
159,Amanda,Myers,collinssamuel@example.org,Associate Professor,4,"Building C, Room 243",6314617990
160,David,Zimmerman,martinstephanie@example.net,Professor,5,"Building C, Room 124",342.952.4105x64814
161,Spencer,Ward,kvillarreal@example.com,Lecturer,5,"Building D, Room 152",(241)591-3800
162,Brandon,Cox,haroldhorne@example.org,Assistant Professor,9,"Building C, Room 208",+1-763-353-6541
163,Wayne,Winters,jeffreyblack@example.org,Professor,10,"Building B, Room 322",(617)544-5187x0534
164,Steven,Vargas,xcuevas@example.org,Associate Professor,5,"Building C, Room 314",001-883-620-6038x5050
165,Dalton,Moreno,robertwoodward@example.org,Professor,2,"Building C, Room 175",001-441-803-8657x191
166,Charles,Bradley,ibates@example.org,Professor,10,"Building B, Room 352",345-465-5743x1329
167,Daniel,Cole,richard85@example.org,Associate Professor,7,"Building B, Room 240",447.341.1249x035
168,Jennifer,Schmitt,rpalmer@example.com,Lecturer,10,"Building A, Room 382",320-267-8831x712
169,Bryan,Norman,davidcolon@example.com,Associate Professor,2,"Building A, Room 128",+1-219-994-1013x72151
170,Brent,Glass,zunderwood@example.com,Professor,6,"Building C, Room 235",9664253244
171,Austin,Harvey,deborahporter@example.net,Lecturer,1,"Building B, Room 244",701.946.2638x3806
172,Amy,Washington,paul20@example.com,Assistant Professor,7,"Building A, Room 231",+1-530-540-7859x321
173,Joseph,Velasquez,gallagherstacie@example.net,Lecturer,6,"Building D, Room 374",(452)523-9559x0599
174,Mary,Cochran,lweaver@example.com,Professor,6,"Building C, Room 190",2107393087
175,Samantha,Harris,matthewthompson@example.com,Associate Professor,10,"Building C, Room 138",7028921851
176,Brenda,Rogers,derek26@example.net,Associate Professor,3,"Building A, Room 240",452.289.5392x6442
177,Stacy,Fry,xrosales@example.net,Associate Professor,10,"Building D, Room 100",4297593917
178,Julie,Young,gary15@example.com,Assistant Professor,9,"Building C, Room 216",2438315410
179,Samuel,Barnes,nicolesnyder@example.com,Associate Professor,10,"Building D, Room 272",(286)717-9327x104
180,Jose,Garcia,george62@example.net,Lecturer,5,"Building D, Room 312",481-859-9706
181,Eric,Garcia,terriortiz@example.net,Assistant Professor,5,"Building D, Room 326",001-284-744-3106x9872
182,Adam,Miller,bgonzalez@example.org,Assistant Professor,4,"Building A, Room 146",(641)371-4677
183,Darlene,Hughes,nicole52@example.com,Professor,1,"Building B, Room 242",4473743490
184,Christopher,Cooper,larellano@example.org,Assistant Professor,1,"Building A, Room 153",+1-906-686-8793
185,Christian,Orr,shawrachel@example.net,Associate Professor,3,"Building D, Room 111",+1-592-417-2233x20616
186,Mary,Scott,millerangela@example.net,Associate Professor,8,"Building B, Room 255",348-370-9986x16229
187,Anna,Garcia,mikayla56@example.com,Professor,8,"Building B, Room 263",(279)897-0246x2996
188,Pamela,Rivera,brandonalvarez@example.com,Associate Professor,8,"Building B, Room 277",(705)644-4713x247
189,Jessica,Jacobs,lopezjason@example.com,Lecturer,5,"Building A, Room 327",001-278-450-8214x8628
190,James,Whitaker,wrightstephen@example.com,Lecturer,6,"Building C, Room 244",001-934-457-8610x357
191,Susan,Wells,max41@example.com,Professor,1,"Building A, Room 311",6608293333
192,William,Hancock,wellsdavid@example.org,Professor,3,"Building A, Room 181",+1-503-949-4466x574
193,Kevin,Meyer,asilva@example.net,Assistant Professor,5,"Building C, Room 109",+1-658-699-4417x15454
194,Jacob,Holmes,racheltrujillo@example.net,Lecturer,2,"Building C, Room 104",(552)707-4466x6099
195,Jessica,Walker,qknox@example.com,Assistant Professor,8,"Building A, Room 164",542.782.4172x48251
196,Jeffrey,Savage,vfrench@example.com,Associate Professor,1,"Building C, Room 381",594-371-7099x917
197,Mikayla,James,robert22@example.org,Assistant Professor,9,"Building B, Room 382",969-672-5217x52500
198,Jason,Ayala,tracygallagher@example.org,Professor,1,"Building B, Room 204",(296)566-6760
199,Jessica,Dodson,katherine83@example.org,Assistant Professor,1,"Building A, Room 105",+1-203-635-4216x89421
200,Stacy,Bryant,ryan25@example.com,Lecturer,1,"Building A, Room 232",(432)360-3323x098
201,Michael,Santos,brooksdanielle@example.net,Associate Professor,3,"Building A, Room 122",+1-609-901-0016x761
202,Jacqueline,Harris,turnerdorothy@example.net,Professor,5,"Building A, Room 301",549.592.6189x14117
203,Kimberly,Decker,michaelortiz@example.org,Associate Professor,3,"Building A, Room 184",3873375300
204,Mary,Caldwell,stacychan@example.org,Associate Professor,9,"Building B, Room 100",001-714-737-4470x1204
205,Ronald,Wilson,smithdevon@example.net,Assistant Professor,4,"Building B, Room 387",(455)379-4155
206,Richard,Rivers,mary76@example.net,Associate Professor,8,"Building C, Room 253",(912)402-1697
