StudentID,BannerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,Gender,Classification,FirstGenerationStudent,InternationalStudent,CurrentAddress,PermanentAddress,HighSchoolGPA,AdmissionDate,RiskClassification
9457,A1009456,Amy,Phillips,uholloway@example.org,+1-835-726-5296x279,2004-07-07,M,Freshman,True,False,"USS Moore, FPO AP 79501","52774 Mitchell Summit Suite 919, Cindyborough, VT 63643",2.38,2024-09-03,High
8868,A1008867,Anthony,Harris,woodmark@example.com,001-340-649-6030x242,1999-01-04,F,Junior,False,False,"097 Faith Keys, West Andrew, IA 34977","2241 Richardson Views Apt. 596, North Lisaside, IL 12535",3.11,2024-08-18,High
9360,A1009359,Sharon,Armstrong,esnyder@example.com,+1-683-971-8910x14625,2001-03-23,F,Senior,False,False,"27941 Price Summit Suite 373, North Amyton, MN 01482","9679 Jones View Suite 464, Jacksontown, TN 50337",3.79,2024-05-30,High
8621,A1008620,Tyler,Ortiz,wevans@example.org,(313)218-7269x4507,1987-08-14,M,Sophomore,False,False,"9097 Michael Ports, West Shelleyshire, KY 02472","4970 Vanessa Walks Apt. 861, West Brianborough, MN 65969",2.95,2025-11-04,High
7152,A1007151,Cody,Rubio,wvaughn@example.com,(473)917-0445,2005-12-23,M,Freshman,False,False,"344 Sara Wells, South Craig, GA 42178","0933 Kenneth Forges Suite 646, South Jillport, VA 22157",3.49,2025-02-27,High
958,A1000957,Jessica,Smith,tholder@example.net,+1-832-401-9703x07817,1988-05-03,M,Sophomore,True,True,"Unit 2558 Box 8119, DPO AP 15748","6151 Shannon Parkway Suite 424, Mcdonaldtown, AR 33788",3.61,2025-08-24,High
6258,A1006257,Paul,Sanchez,mercerregina@example.org,+1-854-642-5214x967,1984-01-02,M,Sophomore,False,False,"084 Stone Crescent, Michaelview, OK 37105","72919 Stephen Knolls Suite 975, Antonioland, HI 27204",3.02,2024-11-15,High
1363,A1001362,Kara,Clark,clayrobert@example.net,+1-697-913-7779x38640,2007-10-16,F,Junior,True,False,"86647 Lopez Square, Johnland, WY 19987","53543 William Valleys Apt. 509, East Cameron, MT 18686",3.9,2024-06-10,High
9916,A1009915,Diana,Ford,hernandezdavid@example.com,(480)529-1985,2005-06-02,Prefer Not to Say,Junior,False,False,"0626 Thompson Squares, Solomonberg, PA 93718","1377 Gina Walks, Fosterland, MD 59415",2.03,2023-04-13,High
6834,A1006833,Christopher,Bentley,clarkjesus@example.net,762.369.6973,1983-09-02,F,Sophomore,False,False,"1492 Schwartz Stream, Ernestborough, SD 89003","010 Bell Crossing, Valdezstad, DE 44161",3.76,2022-12-30,High
8248,A1008247,Julian,Cruz,twalker@example.net,970.332.3061x3579,1986-09-09,M,Freshman,False,True,"99191 Curtis Viaduct, Lake Richardhaven, PW 79204","90316 Becker Roads, Port Michelleville, FL 74733",3.81,2024-07-23,High
4326,A1004325,Jennifer,Brown,jenniferdurham@example.net,(307)839-4103,1998-06-28,Prefer Not to Say,Senior,False,False,"11651 Simmons Circle, Port Johnchester, MI 09464","0847 Jackson Run, Georgemouth, DC 18043",2.99,2024-02-21,High
2369,A1002368,Sarah,Pugh,fhuber@example.com,(689)325-4292x5773,1980-02-26,M,Freshman,False,False,"4247 Courtney Hollow Apt. 749, Fryebury, WA 45738","8039 Mills Valleys, Matthewborough, VA 73485",3.39,2022-11-10,High
4830,A1004829,Heather,Hart,jill93@example.org,424.904.1284,1996-07-20,M,Freshman,True,False,"008 Nancy Ridge Suite 999, Gordonland, VT 91930","32604 Brown Plaza, Dayville, MP 24059",2.31,2024-06-04,High
3390,A1003389,Kelly,Carrillo,harrisjulia@example.com,(415)994-7248,1991-07-20,F,Sophomore,False,False,"345 Velez Skyway, East Bradley, IA 45806","0285 Morales Views, Jensenville, NH 75665",3.86,2024-12-21,High
1639,A1001638,Nicole,Davila,fpacheco@example.com,458-914-3023x459,1989-02-13,M,Freshman,False,True,"621 Salinas Mountains Suite 557, Smithhaven, NJ 72987","PSC 1763, Box 9029, APO AA 36569",3.16,2022-12-28,High
6289,A1006288,David,Richardson,lawrenceestes@example.org,316.293.7426x1650,1993-02-03,M,Junior,True,False,"20978 Emily Heights, New Rhonda, UT 17650","USCGC Hensley, FPO AP 81467",3.4,2023-12-29,High
5378,A1005377,Derrick,Lee,benjaminscott@example.com,+1-251-630-0872x49973,2000-09-25,Prefer Not to Say,Freshman,False,True,"382 Catherine Valleys, Michaelchester, MO 75812","Unit 3917 Box 0965, DPO AE 56003",2.3,2025-03-11,High
6719,A1006718,David,Potter,heather84@example.org,746.824.8079,1988-02-23,F,Freshman,False,False,"USNS Martinez, FPO AE 63181","32824 Jennifer Crescent, Mirandaville, WA 81847",3.64,2024-05-18,High
1171,A1001170,Elizabeth,Bradshaw,wharris@example.net,+1-402-864-9280x31512,1990-07-30,F,Senior,True,False,"772 Michael Pines, South Jim, MT 70128","53252 Williams Cliff, New Danielleburgh, PW 32539",2.98,2022-12-01,High
9926,A1009925,Harold,Joseph,mercedes16@example.org,(237)538-6049x83690,2005-11-12,F,Senior,True,True,"00965 Buchanan Flats Suite 637, New Nathan, LA 86799","996 Hester Ville Suite 282, South Lindseyburgh, SC 41626",2.19,2023-09-19,High
148,A1000147,Sandra,Robinson,gstokes@example.net,+1-523-685-9514x34682,1997-03-02,F,Senior,False,False,"27300 Burke Loaf, North Darrylfurt, NY 26985","500 Nicholas Centers, Christopherland, PR 97196",3.12,2024-03-19,High
4844,A1004843,Alexis,Hayden,alexander82@example.org,+1-272-340-4289x133,1998-05-10,F,Freshman,False,False,"859 Madison Parks Apt. 677, Port Laurahaven, VT 43392","863 Doyle Bypass Apt. 672, West Debraberg, OH 55828",3.29,2024-07-11,High
8123,A1008122,Billy,Murray,jerryhoffman@example.org,+1-462-933-1521x7378,2004-09-13,F,Senior,False,False,"9615 Danielle Streets, Claudiaside, SC 19151","523 Lopez Views Suite 293, Port Donnastad, IA 22858",2.94,2023-04-25,High
8399,A1008398,Jennifer,Reid,zedwards@example.org,001-875-892-4218x496,1990-11-17,F,Freshman,True,False,"289 Emily Path, Tammyview, NH 37138","1943 Gary Ramp Apt. 715, Downsborough, AK 69828",2.26,2025-02-17,High
8888,A1008887,Christopher,Smith,joshuawright@example.org,(943)288-9241,1991-04-29,M,Senior,True,False,"3497 Karen Crescent, Port Mariehaven, FM 07570","38350 Campbell Knolls Suite 690, Charlesshire, MS 26481",3.74,2025-01-15,High
3369,A1003368,Sara,Thomas,natasharoman@example.org,326.988.3610x855,1982-06-08,F,Sophomore,False,False,"37400 Moody Glen Apt. 187, North Todd, CT 72976","1233 Jonathan Lake, Jamesside, ID 74343",2.45,2024-03-03,High
544,A1000543,Paul,Kim,sallen@example.com,(321)457-7405x45866,1989-09-23,M,Sophomore,True,False,"1427 Khan Road Apt. 419, Thompsonborough, VT 34348","22339 David Port, North Stevenville, IL 18669",3.26,2025-08-30,High
8852,A1008851,Brad,Yates,bensonjames@example.com,410.965.3642,1983-07-26,F,Freshman,False,False,"14353 Alicia Corners Apt. 701, Ralphville, OH 74405","27124 Vazquez Brook Apt. 463, Snyderville, NH 48096",3.68,2022-11-15,High
1603,A1001602,Alicia,Jensen,briannawagner@example.net,001-761-613-9554x340,2002-03-30,F,Freshman,True,False,"255 Kristin Passage Apt. 786, Woodsberg, WV 72243","60511 Emily Knoll Apt. 583, Dennishaven, AR 07360",3.9,2022-12-16,High
7471,A1007470,Michael,Morris,rpowell@example.com,+1-722-414-4534,1984-08-16,Non-Binary,Freshman,False,False,"59096 Madison Mount Suite 575, Lorettahaven, MI 81727","822 Hayes Glens Apt. 545, Lisafort, AR 28195",3.37,2025-09-24,High
2612,A1002611,Sydney,Cook,linda85@example.com,001-220-630-8824,1998-07-15,M,Freshman,False,False,"8782 Jarvis Track, Edwardsbury, DC 83503","7474 Cheyenne Prairie Suite 059, West Thomasside, DC 45460",2.43,2023-05-18,High
7089,A1007088,Amanda,Castaneda,irwinanna@example.org,997.625.0585x88211,1982-10-12,M,Freshman,False,False,"32624 Brown Fall Apt. 489, South Franklinshire, GA 37093","55460 Kristina Club Suite 822, East Denise, NE 49366",3.49,2025-06-17,High
1205,A1001204,Joseph,Pierce,ejones@example.org,(975)896-5000x21979,1990-03-03,F,Sophomore,True,False,"48601 Peterson Cliff Apt. 466, West Robert, OR 45959","62802 Meadows Turnpike Suite 228, Victorfurt, OR 64291",2.71,2025-01-24,High
4127,A1004126,Jordan,Cooper,christopherleach@example.net,001-585-464-1216,2007-03-01,F,Sophomore,True,True,"Unit 6884 Box 5240, DPO AA 63089","PSC 9969, Box 5672, APO AP 85719",2.26,2023-07-27,High
6379,A1006378,Molly,Johnson,gregory58@example.org,(510)218-0727x1122,2000-04-02,M,Sophomore,False,True,"328 Hannah Station Apt. 383, Port Cynthiaport, OH 20865","608 Ronald Island Apt. 855, Thompsonberg, DE 88424",3.61,2023-01-23,High
7167,A1007166,Christopher,Wallace,michellewallace@example.com,+1-927-879-9234x736,1987-04-16,F,Senior,False,False,"3216 Brian Brook Suite 670, Mahoneyburgh, KS 77247","17692 Reyes Curve Apt. 509, Lake Kathryn, NV 88645",2.88,2024-12-05,High
881,A1000880,Marissa,Thomas,lee87@example.net,001-299-496-2893,1998-08-24,F,Senior,False,False,"18505 Lin Points Apt. 191, Lake Ricky, KS 92473","896 Baker Plaza Apt. 844, New Morganside, MP 56582",2.11,2024-05-07,Low
8565,A1008564,Lauren,Cobb,wandaday@example.net,475.594.6521x7728,2000-06-14,M,Junior,False,False,"78430 Joshua Neck Apt. 077, Sanchezton, DE 14620","318 Wood Fort, Garrettborough, WI 67587",3.71,2025-02-20,Low
4260,A1004259,Sarah,Clark,kennethkelly@example.org,001-235-458-8778x419,1984-08-03,F,Sophomore,True,False,"1562 Amanda Motorway, North Davidville, MH 60384","81214 Flores Crossing, Gillfort, PW 19046",3.73,2024-05-21,Low
250,A1000249,Jennifer,May,dbrown@example.org,(203)319-7899,1982-11-21,F,Junior,True,False,"34713 Karen Parks, New Lynnside, MT 06476","625 Jennifer Green, New Deborahmouth, GU 69167",3.62,2024-03-30,Low
5086,A1005085,Nancy,Douglas,rwright@example.net,001-386-226-0659x03075,2002-07-04,Non-Binary,Freshman,False,False,"59004 Emily Plains Apt. 520, Port Jonathanland, TN 97277","362 Sanders Forest, New Christophermouth, NH 14414",2.6,2022-12-25,Low
7823,A1007822,Kevin,Evans,dbecker@example.com,+1-757-817-5127,1998-09-27,F,Sophomore,True,False,"Unit 0836 Box 9771, DPO AE 13797","0236 Hernandez Crescent, Rhodesview, MS 52313",2.15,2023-03-29,Low
7713,A1007712,Carlos,Jenkins,rowens@example.net,218-391-0838x361,2002-01-31,F,Junior,False,False,"632 Gina Plains Suite 541, New Kristine, IL 53085","709 Garcia Fork, Beckfurt, KY 34350",2.39,2024-12-02,Low
427,A1000426,Cody,Russell,bettygutierrez@example.net,(280)792-4115,2007-09-07,M,Senior,True,False,"961 David Villages Apt. 552, Lake Francisco, TN 72941","USNV Gordon, FPO AP 25811",2.57,2024-10-14,Low
6677,A1006676,Phillip,Davidson,davidclark@example.net,(888)990-0375,1994-04-08,F,Sophomore,True,False,"00575 Lisa Overpass Suite 456, Port Christine, AK 08413","8253 David Keys, South Heatherborough, NE 55060",2.68,2024-05-11,Low
1637,A1001636,Linda,Walker,shane21@example.net,7328871718,1980-12-23,M,Freshman,False,False,"48981 Meadows Squares Apt. 201, Lake Taylorbury, WI 88860","310 Hernandez Corner Apt. 889, South Karlaport, AZ 33508",3.56,2025-04-10,Low
3104,A1003103,Daniel,Dennis,werickson@example.com,(478)559-9762x89441,2006-01-26,M,Sophomore,False,False,"PSC 9067, Box 8756, APO AE 66175","92146 Hughes Squares, Summerburgh, VI 75790",2.88,2024-11-13,Low
